翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
pc40,ジョバンニ,**:**,これ以上ご迷惑をおかけする,"Всё в порядке, ты и так",我不能再给你添麻烦了。,이 이상 폐를 끼칠,
,,,わけにはいきません。,достаточно занят.,,수는 없어요.,
,,,それに、彼と僕の問題です,"К тому же, это между",何况，这是我跟他之间的,거기다 이건 자넬리와,
,,,ので。,мной и им.,事。,제 문제니까요.,
pc41,エーミール,**:**,そうか。,Понимаю.,这样啊。,그렇군.,
,,,君がそう言うのであれば仕,"Ладно, раз ты так говоришь,",既然你这么说，那好吧！！,네가 그렇게 말하니,
,,,方ない！！！！！,тогда!!!!!!!!!!!!!!!,！！！,어쩔 수 없지!!!!!,
,,,だが、何か困ったことがあ,Но если тебе когда-нибудь понадобится,但如果你真的遇到什么困,하지만 만약 힘든 일이,
,,,ればいつでも僕に相談して,"помощь в чём-либо, просто",难，随时喊我帮忙啊！！！,있다면 언제든 내게,
,,,くれよ！！！！！！！！,крикни мне!!!!!!!!!,！！！！！！！！,말하거라!!!!!!,
,,,, , , ,
,,,待っているからな！！！！,Я всегда буду на,我等着你！！！！！！！！,기다리마!!!!!!,
,,,！！！！！！！！！！！,подхвате для тебя!!!!!!!!!,！！！！！！！,!!!!!!!!!!!!,
pc42,エーミール,**:**,ジョバンニ、聞いてくれ！,"ЭЙ, ДЖОВАННИ!!!!!!!!!!!!",乔班尼，你来帮我听听！,"조반니, 들어 다오!",
,,,実は、今度の学校説明会の,Я тут репетировал наш,过些日子咱们学校要办一个,실은 이번 학교 설명회에,
,,,ために校歌を練習している,школьный гимн изо всех сил,展示说明会，因此我正在学,부를 교가를 연습하는,
,,,んだ！,для посвящения!!!!,唱校歌！,중이다!,
,,,僕としてはかなり自信があ,"Мне кажется, у меня неплохо",我对自己的歌喉还是相当有,제법 자신 있게 불렀다만,
,,,るんだが、第三者からの意,"получается, но мне нужно твоё",信心的，但也该听听他人的,외부인의 의견도 듣고,
,,,見も聞きたくてな。,мнение. Можешь,意见。,싶어서 말이야.,
,,,ぜひ正直な感想を聞かせて,"послушать и сказать мне,",你听听看吧！一定要客观评,꼭 솔직한 감상을,
,,,ほしい！,что думаешь???,价，不用跟我客气哦！,들려줬으면 좋겠군!,
pc43,ジョバンニ,,……ひどすぎる……,Ого. Он… реально ужасен.,……太难听了吧……,지독하네… 어떻게 불러야,
,,,どう歌ったらこんな音程になるんだ,Как он умудрился?,要怎么唱歌才能跑调成这样？,저런 소리가 나오지?,
pc44,ジョバンニ,,素敵な歌声ですね,Ты звучишь прекрасно.,你唱得很好,멋진 노래네요,
,,,あまりにもひどい音程です,У меня кровь из ушей идёт.,调跑天边去了,음정이 너무 끔찍해요,
pc45,ジョバンニ,**:**,素敵な歌声ですね。,Ты звучишь прекрасно.,你唱得很好啊。,멋진 노래네요.,
,,,いくつか音が外れてる気が,"Ты пару раз сфальшивил,",虽然其中几个音有点跑偏，,음정 몇 개가 엇나간,
,,,しますが、声の大きさには,но это нормально. Твой голос,但比起跑调问题，你的嗓门,"것 같지만, 목소리에",
,,,音程以上の絶望的なインパ,и так всем снесёт,更震慑人心，恐怕只要开口,음정 이상의 절망적인,
,,,クトがあると思います。,уши.,就有毁天灭地的威力吧。,임팩트가 있네요.,
pc46,ジョバンニ,**:**,率直に言うとあまりにも,"Если честно, ты звучишь",那我说实话，这调跑得实在,솔직히 말해 음정이,
,,,ひどい音程です。,ужасно фальшиво.,太离谱了。,너무 끔찍해요.,
,,,何故自信があるのか分かり,"Я не знаю, откуда у тебя",虽然搞不懂会长你到底是哪,무슨 근거로 자신이,
,,,ませんが、エーミールさんは,"столько уверенности,",里来的自信，总之我建议你,넘치시는지는 모르지만,
,,,歌わない方がいいと思います,но певцом тебе не быть.,还是不要上台的好,노래는 포기하세요,
pc47,エーミール,**:**,■□■■□□□■■■□□■,■□■■□□□■■■□□■,■□■■□□□■■■□□■,■□■■□□□■■■□□■,
,,,■■■■■■□□□■■■■,■■■■■■□□□■■■■,■■■■■■□□□■■■■,■■■■■■□□□■■■■,
pc48,AI,**:**,R・カレルレンより、,Платёж за этот месяц,您好，以下是一份,R-카렐렌으로부터,
,,,今月の入金のご案内が,не был произведён согласно,来自R·卡列伦的付款操作,이번 달 입금 안내,
,,,ありました。,уведомлению Р. Кареллена.,指引。,고지를 받았습니다.,
,,,遅延されているようですが、,Неуплата в течение,您本月的支付有所延误。,"기한을 늦추긴 했지만,",
,,,今週中に入金がない場合、,недели приведёт к,我院已收到警告，若本周内,이번 주 중에 입금이,
,,,治療を停止する旨を,прекращению всех процедур.,该款项仍未入账，须立即,없으면 치료를 중단할,
,,,警告されています。,Данное уведомление является окончательным.,停止对您家人的医学支持。,것을 권고받았습니다.,
,,,治療のための,"Пожалуйста, переведите 108 000е",治疗所需的保障费为,필요한 치료 보장비는,
,,,"保障費は108,000eです。",в качестве оплаты медицинских услуг как можно,"108,000e。","108,000e입니다.",コンマ位置変えてるけど他言語では正しいので翻訳出し直し必要ありません
,,,ご確認をお願いいたします。,скорее. Спасибо.,,확인해 주십시오.,
pc49,ジョバンニ,**:**,わかりました。,Я понимаю.,好的。,알겠어요.,
,,,母の容体はいかがですか？,Как моя мама?,我母亲的状态如何？,어머니는 좀 어떤가요?,
pc50,AI,**:**,ご利用いただき,Спасибо за ваше,感谢您使用我院服务。,확인해 주셔서,
,,,ありがとうございます。,сообщение.,,감사합니다.,
,,,現在、トーシア様は未だ,Госпожа Тосия Стайлус всё,托西娅女士目前仍在昏睡。,토시아 님은 지금도,
,,,昏睡状態が続いており、,ещё в коме. Её,各项指标暂未出现明显波,"혼수 상태 중이며,",
,,,容体に変化はありません。,состояние не изменилось.,动。,큰 변화는 없습니다.,
,,, , , , ,
,,,また、R・カレルレンから,Хотели бы ещё раз напомнить,此外，基于来自R·卡列伦,"또한, R-카렐렌의",
,,,の勧告に基づき、,"вам, что вы должны",的劝告，我们强烈希望您在,"권고에 따라,",
,,,今週中には入金を,полностью оплатить задолженность,本周内付清拖欠的医药费。,이번 주 중에 금액을,
,,,お願いいたします。,до конца этой недели., ,보내 주시기 바랍니다.,
,,, , ,, ,
,,,治療が中断されると、,Прекращение лечения,治疗一旦中断，可能对您,치료를 중단하면,
,,,ご家族の健康状態に,может негативно,家人的身体状况造成影响，,가족 분의 건강에,
,,,影響が出る,повлиять на самочувствие,,큰 영향이 발생할,
,,,可能性がございますので、,пациента. В связи с этим,,"수 있으므로,",
,,,早めのお手続きを,рекомендуется произвести,因此万望您尽早办理相关,되도록 빠르게,
,,,お願いいたします。,оплату КАК МОЖНО СКОРЕЕ.,手续。,처리해 주십시오.,
pc239,ジョバンニ,**:**,送金,Отправить деньги,汇款,송금,
pc240,,,** ERROR：所持金が不足しています **,НЕДОСТАТОЧНО СРЕДСТВ,** ERROR：账户余额不足 **,** ERROR: 소지금이 부족합니다 **,
pc241,,,** SUCCESS：送金が完了いたしました **,ПЕРЕВОД УСПЕШЕН,** SUCCESS：支付完成 **,** SUCCESS: 금액을 송금하였습니다 **,
pc51,ジョバンニ,,……早く振り込まないと。,"Мне нужно заплатить, СРОЧНО.",……我得尽早把钱打过去。,…서둘러야겠어.,
