翻訳ID,キャラ名翻訳ID,投稿時刻,日本語,英語,中国語（簡体字）,韓国語,備考
,,,> 久しぶり。まだ脳にガタは来てない？,">Давно не виделись. Ещё не впала в маразм, а?",> 好久不见了。大脑还没有痴呆吧？,> 오랜만이야. 아직 뇌에 이상은 없지?,
,,,> サミュエル・ハドソンだよ。,>Это Сэмюэл Хадсон.,> 你的朋友，萨缪尔·哈德森给你写信咯。,"> 나야, 사무엘 허드슨.",
,,,>,>,>,>,
,,,> 執務中に倒れたって聞いたよ。,">Я слышал, ты упала в обморок на работе.",> 我听说你是在办公时倒下的。,> 집무 중에 쓰러졌다는 소식 들었어.,
,,,> 君ほどの人間になると、,">Отказываться от автоматизации, должно быть, тяжело,",> 你这种地位的人，,> 너 정도 되는 사람이면 전신 의체화를,
,,,> 全身の義体化を断るのも一苦労だろうね。,">особенно для такой великой женщины, как ты.",> 估计想拒绝全身义体化都很难。,> 거절하기도 쉽지 않을 거야.,
,,,> 僕も折れた口だよ。孫にせがまれたら断れない。,">Когда мой внук попросил меня об этом, я просто поддался и уступил.",> 我自己也没能拗过家里人。小孙子求我啊。,> 나도 그래. 손자가 조르면 거절할 수 없겠지.,
,,,>,>,>,>,
,,,> やっぱり、決断を変える気はない？,">Есть хоть какой-то шанс, что я смогу тебя переубедить?",> 所以你还是要坚持自己的决定吗？,"> 역시, 결심을 바꿀 생각은 없나?",
,,,> 君の考えも理解できるよ。,>Слушай. Я понимаю твои сомнения.,> 我也算能理解你的想法。,> 자네 생각도 이해해.,
,,,> 自然な形で人生の終わりを迎えたいというのは,>Оставаться естественным до конца важно для некоторых людей.,> 总有人会想以自然的形态迎接生命的最后一刻，,> 자연의 섭리에 따라 마지막을,
,,,> よくわかる。,">Я знаю это лучше, чем кто-либо другой.",> 这个我懂。,> 맞이하고 싶다는 마음도 말이야.,
,,,>,>,>,>,
,,,> 手術室はいつでも空けておくようにするよ。,">Если ты когда-нибудь передумаешь, мои двери открыты.",> 总之，手术室的床位我永远给你留着。,> 수술실은 준비할 수 있도록 비워 둘게.,
,,,> どんな未来を選ぶにしろ、君の判断を尊重しよう。,">Что бы ты ни выбрала, знай, я буду уважать твой выбор в любом случае.",> 不管你选择什么样的未来，我都会尊重你的判断。,"> 어떤 미래를 선택하든, 네 판단을 존중하지.",
,,,>,>,>,>,
,,,> 心からの友情を込めて,">Твой дорогой друг,",> 你真挚的友人，,"> 진심 어린 우정을 담아,",
,,,>,>,>,>,
,,,> サムより,>Сэм,> 萨姆,> 샘,
,,,---,...,---,---,
pc665,,,・わたしのお墓を立てる,ПОСТРОИТЬ МОЮ ГРОБНИЦУ,・给自己建个坟墓,・묫자리 지정,
,,,→地下深く、大きなイグニウムのところ,"→Глубоко под землёй, рядом с большим игниумом.",→就建在地下深处，有大块伊格尼姆的地方,→ 거대 이그늄이 있는 지하 깊은 곳,
,,,　（絶対！！譲らない！！！）,(Это моё! Моё!!!),（不管谁！说什么！！都坚决不改！！！）,(이것만큼은 결코 양보할 생각 없음!!),
,,,→危険,→Опасно,→危险,→ 위험 가능성 있음,
,,,→カモフラージュとしてミュージアム建てるのが良さそう,"→Может, построить музей для маскировки.",→最好在上面再建个博物馆当幌子,→ 위장용으로 박물관을 짓는 게 좋을 듯,
,,, , , , ,
,,,・ミュージアム展示の内容案,ИДЕИ ДЛЯ МУЗЕЙНЫХ ЭКСПОНАТОВ,・博物馆展品内容草案,・박물관에 전시할 물건,
,,,- 地球時代のこと,- Материалы о Земле,- 地球时代的事,- 지구 시대의 물건,
,,,　（資料とか写真を展示？）,(Выставить документы и фотографии?),（放点文字资料或者照片？）,(자료나 사진을 전시하는 게 좋을까?),
,,,- モーリアン発見した頃の記録やら映像,- Записи и видео открытия Моллиана,- 发现莫莉安那会拍的视频和记录啥的,- 모리안 발견 당시의 기록 또는 영상,
,,,　（ワームホール体験とか！）,(Опыт с червоточиной мог бы быть крутым??),（比如过虫洞时的体验！）,(웜홀 체험도 좋겠네!),
,,,- 大統領としてやったこと,- Мои дела на посту президента,- 当了总统后做过什么事,- 대통령 기간 동안 한 일,
,,,　（正直めんどくさいけど一応展示しないと）,"(Скучно, но, наверное, стоит это сделать.)",（麻烦死了但还是得摆出来）,(솔직히 귀찮지만 일단 전시해 둬야지),
,,, , , , ,
,,,・建物,ПОСТРОЙКИ,・建筑,・건물,
,,,- それなりの広さ,"- Настолько большие, насколько уместно",- 占地大一些,- 비슷한 넓이로,
,,,　（こういうときに大統領権限をフル活用！）,(Тут я могу блеснуть своими президентскими полномочиями!),（总统特权此时不用更待何时！）,(대통령 권한을 최대한 활용하자!),
,,,- 地下へのシャフトをこっそり設置して特別な区画を作る,"- Создать секретную зону, где я смогу построить шахту,",- 偷偷挖个通往地下的竖井，搞个特殊区域,- 지하에 비밀 통로를 설치하여 특별 구역 정비,
,,,　（ムーヴェーター使用）,ведущую под землю (использовать транспортёр).,（利用移形升降梯）,(공간 엘리베이터를 사용하자),
,,,- 特別区画にイグニウムと私,- Секретная зона для меня и игниума,- 特殊区域就放伊格尼姆和我,- 특별 구역에는 이그늄과 나,
,,, , , , ,
,,,・あとは担当者がなんとかする（お願いね！！）,Всё остальное — на усмотрение ответственного (пожааалуйста).,・剩下的就交给负责人想办法了（拜托了！！）,・나머지는 담당자에게 위임하자(부탁할게!!),
pc666,,,メモ）全然読めてない……早く大統領辞めなきゃ……,Заметки: Я так отстаю... Мне нужно уйти в отставку КАК МОЖНО СКОРЕЕ.,笔记）一本都没看成……这总统真的不能再当了……,메모) 하나도 안 읽었네…… 빨리 대통령 일을 때려치우고 싶어……,
,,, , , , ,
,,,・『プロキシマ・ケンタウリの氷』,- «Иней Проксимы Центавра»,・《比邻星的寒冰》,"・""프록시마 센타우리의 얼음""",
,,,・『量子の海に溺れる』,- «Утопая в Квантовом Море»,・《溺于量子之海》,"・""양자의 바다에 빠지다""",
,,,・『方船』,- «Ковчег»,・《方舟》,"・""방주""",
,,,・『零度人類』,- «Человечество: Абсолютный Ноль»,・《零度人类》,"・""영도 인류""",
,,,・『オリオン腕で待ち合わせ』第7巻,"- «Свидание на Рукаве Ориона», том 7",・《我们猎户臂再见》第7卷,"・""오리온자리 팔에서 기다릴게"" 제7권",
,,,　（50年ぶりの新作！！！）,"(наконец-то новый том, спустя 50 лет!!!)",（时隔50年出新作了！！！）,(50년만의 신작!!!),
,,,・『記憶修復探偵ラドクリフの最後の事件』,"- «Детектив Рэдклифф, Сшиватель Памяти: Последнее Дело»",・《记忆修复侦探拉德克利夫的最后一案》,"・""기록 복원 탐정 래드클리프의 마지막 사건""",
,,,・『星の数だけ神が死ぬ』,"- «Боги Гибнут, Когда Взрываются Звёзды»",・《神死如繁星陨落》,"・""별 수만큼 죽는 신""",
,,,・『コールドスリープ・ララバイ』,- «Колыбельная Криосна»,・《冷冻睡眠摇篮曲》,"・""콜드 슬립 럴러바이""",
,,,・『重力の牢獄』,- «Темница Относительности»,・《重力的牢笼》,"・""중력이라는 감옥""",
,,,・『星を統べるもの』,- «Звёзды в Пределах Досягаемости»,・《统率群星之人》,"・""별을 통솔하는 자""",
pc680,,,接続先がありません,Точка доступа не обнаружена,未找到访问目标,접속 위치가 없습니다,
pc681,,,女,Женщина,女,여성,
,,,モーリアン・ドリーム共和国,Республика Моллианской Мечты,莫莉安梦幻共和国,모리안 드림 공화국,
,,,14区　スウィートミルク通り,"Район 14, улица Сладкого Молока",14区 甜牛奶路,14구 스위트 밀크가,
,,,モーリアン・ドリームハウス,Светлый Дом,莫莉安梦幻之家,몰리 드림 하우스,
pc682,,,,,,,
